Price,Close,High,Low,Open,Volume
Ticker,RSP,RSP,RSP,RSP,RSP
Date,,,,,
2021-05-12,136.7342529296875,139.61878545976512,136.52821387108162,139.23480227869004,4357100
2021-05-13,138.57920837402344,139.25351531712164,136.79979600720486,136.98710031575374,2993700
2021-05-14,140.75196838378906,141.07976165158416,139.37527381409788,139.41272896079292,2992200
2021-05-17,140.60211181640625,140.84560595836896,139.74986088393533,140.3960728153605,3319500
2021-05-18,139.35653686523438,140.81753049981265,139.34716236090827,140.78007535371705,2383100
2021-05-19,138.6354217529297,138.68225141061086,136.6686904535619,137.72698069745465,3919400
2021-05-20,139.684326171875,140.15259412993078,138.63541051875936,138.8882792174226,2460200
2021-05-21,139.87164306640625,140.9205587066158,139.55320999813938,140.1713271248645,2968500
2021-05-24,140.67706298828125,141.14533093549016,140.27434512267166,140.59276389707685,3187600
2021-05-25,140.0870361328125,141.22023652466282,139.8809970996755,141.0797618613436,1637300
2021-05-26,140.56468200683594,140.65834132113008,140.06831907996798,140.2837183543585,3546000
2021-05-27,141.2576904296875,141.43563451059464,141.04229120614804,141.22959550011285,1843300
2021-05-28,141.529296875,141.87582486626818,141.2015178929505,141.7447104153677,1552200
2021-06-01,141.99757385253906,142.66252065398325,141.63232540960615,142.53140619473564,2395400
2021-06-02,142.10057067871094,142.33470462499713,141.6229425728318,142.25978004733733,1741100
2021-06-03,141.89454650878906,142.15677541283375,140.86436561158592,141.4824827241499,2884300
2021-06-04,142.59695434570312,142.75616373760192,141.99757192721185,142.47521439331234,2075800
2021-06-07,142.3441162109375,142.84983937888535,142.11934241940196,142.84983937888535,2400100
2021-06-08,142.52203369140625,142.709352313309,141.6791570544617,142.49393875620171,1646000
2021-06-09,141.87583923339844,142.70935567504438,141.87583923339844,142.70935567504438,1600900
2021-06-10,142.14743041992188,142.79364253494495,141.6229725556727,142.5126788818386,1756400
2021-06-11,142.52203369140625,142.62505321729097,141.97885541718256,142.3721988004503,1315500
2021-06-14,142.08187866210938,142.59696201461102,141.39819711315852,142.49394248602974,1441900
2021-06-15,142.10057067871094,142.4190037063657,141.57611292549416,142.21296469040166,2714500
2021-06-16,141.13597106933594,142.091241782036,140.51785388521205,141.9975824667184,2776700
2021-06-17,139.7498779296875,141.33262577150046,138.78524716640553,140.95800286463196,3518800
2021-06-18,137.34300231933594,138.61669188466698,137.27745222861157,138.4949519189201,2341900
2021-06-21,139.99160766601562,140.05734601933833,138.14133170262315,138.23524568329105,4364700
2021-06-22,140.2827606201172,140.65844519296618,139.39988610932946,140.03856708091013,2095500
2021-06-23,140.0479736328125,140.6584647313553,140.01041090288902,140.40488405860972,2445700
2021-06-24,140.96839904785156,141.1280657165304,140.38608362897017,140.7429940245161,1848400
2021-06-25,141.95458984375,142.1236579436821,141.18443212379984,141.34409879340598,2162900
2021-06-28,141.36288452148438,142.2175835268388,140.8650959428603,142.19879499610306,2222200
2021-06-29,141.25953674316406,142.07667283132628,141.16562277389653,141.63523561457387,1883000
2021-06-30,141.56947326660156,141.77610404889953,141.18440165545132,141.18440165545132,2614000
2021-07-01,142.55569458007812,142.74353687879903,141.95459062530193,142.03911751000905,2159200
2021-07-02,142.9783477783203,143.10045172543542,142.40541943397525,142.82808253354312,1228400
2021-07-06,141.7291717529297,142.86564131097037,140.76177029633047,142.86564131097037,2424500
2021-07-07,142.06727600097656,142.22694265220153,140.95899654019837,141.67280292181243,2481700
2021-07-08,140.7617645263672,141.30651720420605,139.58773228915803,140.26397600430636,3747100
2021-07-09,142.76231384277344,142.86562924841755,141.5882816565664,141.64463290847274,3006800
2021-07-12,143.22251892089844,143.26946873640358,142.02969837929047,142.41478432026204,1809600
2021-07-13,141.8700714111328,142.99713959584463,141.83249435048768,142.9219998060039,2234300
2021-07-14,141.6634063720703,142.8937896793473,141.34407309092666,142.32086146014436,2338600
2021-07-15,141.28775024414062,141.62587215333141,140.56455659426206,140.99659249789727,5040600
2021-07-16,140.23577880859375,141.90759931073453,140.057323642953,141.75731976793745,2092400
2021-07-19,137.6998748779297,138.46064537111195,136.76064921593752,138.2446274816587,6121100
2021-07-20,140.3109588623047,140.7523961888509,137.85957865100653,138.028646768053,2391600
2021-07-21,141.71978759765625,141.90762990092162,141.0059811126682,141.02475531098037,1733600
2021-07-22,141.32530212402344,141.71038812754233,140.7993379882161,141.71038812754233,1664700
2021-07-23,142.49932861328125,142.64020673991678,141.52252583045066,142.02032865127316,2106100
2021-07-26,142.90321350097656,143.12863287400899,142.29272240475717,142.37724929535068,2110500
2021-07-27,142.6496124267578,142.77170202967,141.82308917530207,142.44298161389386,4277300
2021-07-28,142.7247772216797,143.28830417525432,141.88886672547798,142.89383100831702,2638000
2021-07-29,143.7954864501953,144.25569795443366,143.2695079245024,143.38222477430415,2714100
2021-07-30,143.40097045898438,144.29324632335027,143.21312818859818,143.2507052415434,2070000
2021-08-02,143.18496704101562,144.9225404635162,143.1192286888851,144.05845446722097,2172000
2021-08-03,144.38719177246094,144.40598030302985,142.32089768482135,143.43857878475154,2180700
2021-08-04,143.0252685546875,144.06780950992805,143.0252685546875,143.67333649057284,2270300
2021-08-05,144.10540771484375,144.10540771484375,143.47612814818115,143.55126793200705,1476400
2021-08-06,144.69711303710938,144.98827071910276,144.30263995201054,144.56562200874308,1910600
2021-08-09,144.36837768554688,144.71588658208455,143.94571468749803,144.47169307795616,1861900
2021-08-10,145.04461669921875,145.42970267238707,144.36838738608338,144.55622965814578,1845700
2021-08-11,145.97445678710938,145.9838438848022,144.89435296311294,145.34517728696528,2127200
2021-08-12,145.89935302734375,146.0120698847168,145.2325106403675,145.90875445880422,1601800
2021-08-13,145.8805389404297,146.1622951781981,145.70208376887874,146.03080415675734,1672800
2021-08-16,145.927490234375,145.97445438496,144.7158954053826,145.3451748951713,2458800
2021-08-17,144.82861328125,145.13855951028893,143.6451939506498,145.0915953547167,3097700
2021-08-18,143.3352508544922,144.99768454423756,143.24132254129472,144.49049458328886,1788100
2021-08-19,143.01589965820312,143.52307522436053,142.02970981859227,142.24572771422908,2900600
2021-08-20,144.04905700683594,144.20872367377916,142.73414661351023,142.97834016328545,2207100
2021-08-23,145.12916564941406,145.45788606020653,144.7910438090763,144.8755706862989,1745500
2021-08-24,145.72085571289062,145.99323918045468,145.3921353300896,145.46727510281602,1144400
2021-08-25,146.49102783203125,146.84793817010083,145.47666239602793,145.8617483574771,1225400
2021-08-26,145.486083984375,146.41592277068065,145.34520583407854,146.37836004108482,1735300
2021-08-27,147.04518127441406,147.27060061396122,145.81479783371194,145.81479783371194,1623800
2021-08-30,146.8291473388672,147.34572431179302,146.6788677955713,147.1672691455599,1514900
2021-08-31,146.801025390625,146.99825482329834,146.48169199294827,146.82920102386404,1477800
2021-09-01,146.8291473388672,147.1672691455599,146.30318326877764,147.1672691455599,1300100
2021-09-02,147.82473754882812,147.89049022923516,147.30816052937044,147.38330030778675,1321600
2021-09-03,147.34571838378906,147.6650516518609,147.18605174975315,147.53356063962863,1118900
2021-09-07,146.11537170410156,147.32696673929541,145.98386632750396,147.0921602778552,1626100
2021-09-08,146.02142333984375,146.42528351897988,145.41093235649242,145.88054521490025,1438600
2021-09-09,145.60816955566406,146.74463903991588,145.55181830265863,145.9087286802902,1464200
2021-09-10,144.650146484375,146.42528250358893,144.61258376179956,146.32196710219776,1987200
2021-09-13,145.0540313720703,145.88994174079858,144.33082351058022,145.72087364849332,2194700
2021-09-14,144.0208740234375,145.58937931659702,143.7109278041021,145.4954653398409,2146300
2021-09-15,145.29820251464844,145.51422039736795,143.74848595324778,144.04903070336462,2816800
2021-09-16,145.02581787109375,145.5799574955625,144.26504748301898,145.23244863469975,2159100
2021-09-17,143.73912048339844,145.04464386621103,143.64520649550042,144.6783463510751,3120900
2021-09-20,141.5681915283203,142.0866556458443,139.89026357255264,141.53991297498274,4130100
2021-09-21,141.05914306640625,142.6333779741497,140.87061460977696,142.38829241891153,2452700
2021-09-22,142.642822265625,143.56662182694086,141.9263939503269,142.02066537617142,3319000
2021-09-23,144.7354736328125,145.5461588034949,143.35920318868924,143.4063388907585,3218400
2021-09-24,144.9805908203125,145.31994777836715,144.2830197443672,144.3112982922219,2444000
2021-09-27,145.46133422851562,146.24374091419702,145.197391537418,145.26338440209136,3239300
2021-09-28,143.28379821777344,145.15025419341003,143.0858340097858,145.04656139566367,4857900
2021-09-29,143.5948944091797,144.3113083108988,143.2932373660562,143.75514431941426,2633500
2021-09-30,141.2288360595703,144.0002347215163,141.18170034702226,144.0002347215163,4426400
2021-10-01,143.13296508789062,143.87767180684898,140.8423166078127,141.94522302975363,3351600
2021-10-04,142.22801208496094,143.7645323423935,141.60585536576198,142.87844734741472,4596900
2021-10-05,143.24612426757812,144.14164529211953,142.23747465346705,142.75593873624376,2497600
2021-10-06,143.44406127929688,143.453482667667,141.05914109594323,142.02065491026022,2846900
2021-10-07,144.6600799560547,145.6310150482546,144.4338372067256,144.4338372067256,2243800
2021-10-08,144.3207550048828,145.0937260647325,144.20762641325072,144.8580618758831,1861000
2021-10-11,143.5288848876953,145.28222669201415,143.50060634115772,144.4244201407113,1408300
2021-10-12,143.56663513183594,144.37732056430792,143.21784233092728,143.68917073622956,1524000
2021-10-13,143.80227661132812,144.2170478438616,142.38829161885448,143.5948909950614,2283400
2021-10-14,146.27200317382812,146.28142456039046,144.85801846447822,145.00884695225332,1646800
2021-10-15,146.7716522216797,147.59177337026605,146.70567372915,147.13928777663205,2032700
2021-10-18,146.82818603515625,147.13926443751143,145.8195509582453,146.16832929552317,1658200
2021-10-19,147.68601989746094,147.7520127690916,146.95074883991606,147.43149856714174,1576200
2021-10-20,148.8172149658203,148.9491863340903,147.64832981365745,147.66717259212436,1919700
2021-10-21,148.99632263183594,149.0151797941771,148.12908015354816,148.60040852547417,1870600
2021-10-22,149.42051696777344,149.92012389692144,148.7512387270509,149.1754313897878,1547500
2021-10-25,149.7598419189453,150.21232742055832,149.19425661762529,149.7409991442262,2595000
2021-10-26,149.46762084960938,150.25002751521694,149.42048514516603,150.15575610633024,2502700
2021-10-27,147.47862243652344,149.46762844115645,147.45034388918063,149.42049273431905,2476600
2021-10-28,148.9774627685547,148.99631993055397,147.7614419199041,147.80857763300222,1758500
2021-10-29,148.7135009765625,149.16598650375346,148.21389412611268,148.64752249372108,1324400
2021-11-01,149.90127563476562,149.97668989841807,149.04345456749425,149.20370448383065,2186400
2021-11-02,150.31602478027344,150.4668389015923,149.7127251436042,150.22175336862597,1759200
2021-11-03,151.2021026611328,151.3529311590443,149.85411071851664,149.87296787670488,2342600
2021-11-04,150.89102172851562,151.74882814855275,150.36312204506774,151.3246356316033,2505200
2021-11-05,152.04107666015625,152.84234052354392,151.51319126565065,152.05051243178556,2047600
2021-11-08,152.267333984375,152.9554693406083,151.9562555506203,152.71038377937714,1344700
2021-11-09,152.24847412109375,152.58783109882162,151.62633164842538,152.2767526705878,1152300
2021-11-10,151.27749633789062,152.48409538950287,150.88158237256116,151.86195309186817,2132400
2021-11-11,151.64515686035156,151.78656397524182,151.24924282949468,151.5508998342224,1083100
2021-11-12,152.3804473876953,152.5689902317485,151.62633354668066,152.0505261782013,1188500
2021-11-15,152.64437866210938,152.92717852318265,152.34273602508338,152.87062142772768,1194200
2021-11-16,152.8423614501953,153.46451834338828,152.56899732768335,152.71981147262088,1732100
2021-11-17,152.03163146972656,152.76690235178538,151.67341741505322,152.68206672319306,1608600
2021-11-18,151.47549438476562,152.36159390789445,150.74964476078586,152.36159390789445,1280400
2021-11-19,150.49514770507812,151.2492759984802,150.3820334953981,151.1738617307599,1595000
2021-11-22,150.73081970214844,152.04111210605453,150.69311975823672,151.06075534253262,2230300
2021-11-23,151.35293579101562,151.55089999855755,150.2217507896554,150.89104327974724,2112100
2021-11-24,151.42835998535156,151.5603313377791,150.52340329456362,150.6553890307898,1595200
2021-11-26,147.48805236816406,148.53440172981033,146.84703842491345,148.22332333755898,3644300
2021-11-29,148.7229461669922,149.5713314125571,147.6954394697468,149.20369588830573,2657000
2021-11-30,144.78265380859375,147.76145273530616,144.73551809204554,147.59178141629403,4223100
2021-12-01,142.98214721679688,147.9122516267507,142.8784687984941,146.9790164078409,6193400
